,title,rating,votes,author,recommendations,descriptions,ranking,votes_z,recommendations_z
0,Atomic Habits,4.8,123425,James Clear,9,1,1,0.23846982338912828,2.0135123201615603
1,Man's Search for Meaning,4.7,85596,Viktor Frankl,14,1,2,-0.19489047319130406,3.680327154732388
2,Sapiens,4.6,136953,Yuval Noah Harari,10,1,3,0.3934434703832357,2.3468752870757257
3,"Thinking, Fast and Slow",4.6,42429,Daniel Kahneman,13,1,4,-0.6894016662571404,3.346964187818222
4,Think and Grow Rich,4.6,73740,Napoleon Hill,11,1,5,-0.3307100739277128,2.680238253989891
5,Where the Crawdads Sing,4.7,623351,Delia Owens,1,1,6,5.965506742902444,-0.6533914151517646
6,Can't Hurt Me,4.8,94155,David Goggins,7,1,7,-0.09684054381352722,1.346786386333229
7,The Girl on the Train,4.1,492670,Paula Hawkins,1,1,8,4.4684553559393345,-0.6533914151517646
8,1984,4.6,114438,George Orwell,6,1,9,0.13551682475399793,1.0134234194190634
9,Zero to One,4.5,35949,Peter Thiel,10,1,10,-0.7636350512750156,2.3468752870757257
10,How to Win Friends and Influence People,4.7,30924,Dale Carnegie,10,1,11,-0.8212002919717476,2.3468752870757257
11,It Ends with Us,4.7,313771,Colleen Hoover,1,1,12,2.419029685212041,-0.6533914151517646
12,The Subtle Art of Not Giving a F*ck,4.6,144935,Mark Manson,4,1,13,0.4848834208790196,0.3466974855907322
13,The Power of Now,4.7,59828,Eckhart Tolle,7,1,14,-0.49008273633028687,1.346786386333229
14,The Silent Patient,4.4,303622,Alex Michaelides,1,1,15,2.302765082658582,-0.6533914151517646
15,The 48 Laws of Power,4.7,72960,Robert Greene,6,1,16,-0.33964557397616074,1.0134234194190634
16,Educated,4.6,211839,Tara Westover,2,1,17,1.2513202096499954,-0.32002844823759896
17,The 4-Hour Workweek,4.5,26453,Timothy Ferriss,10,1,18,-0.8724190364802229,2.3468752870757257
18,Lessons in Chemistry,4.6,270936,Bonnie Garmus,1,1,19,1.9283218075514417,-0.6533914151517646
19,Dune,4.7,91073,Frank Herbert,5,1,20,-0.13214722477418947,0.6800604525048978
20,Ready Player One,4.6,148911,Ernest Cline,3,1,21,0.5304315595875183,0.013334518676566636
21,The Handmaid's Tale,4.3,152194,Margaret Atwood,3,1,22,0.5680408501760499,0.013334518676566636
22,To Kill a Mockingbird,4.7,133515,Harper Lee,3,1,23,0.35405853555430744,0.013334518676566636
23,The Martian,4.7,172208,Andy Weir,1,1,24,0.7973166168037897,-0.6533914151517646
24,Beneath a Scarlet Sky,4.6,226233,Mark Sullivan,1,1,25,1.4162145528517387,-0.6533914151517646
25,Rich Dad Poor Dad,4.7,95255,Robert T. Kiyosaki,2,1,26,-0.08423919759135703,-0.32002844823759896
26,The Fault in Our Stars,4.6,160655,John Green,2,1,27,0.6649681141631243,-0.32002844823759896
27,Becoming,4.8,196188,Michelle Obama,1,1,28,1.0720259644470995,-0.6533914151517646
28,Project Hail Mary,4.7,116244,Andy Weir,3,1,29,0.1562059440969428,0.013334518676566636
29,The Four Agreements,4.7,111635,Don Miguel Ruiz,3,1,30,0.10340630342604976,0.013334518676566636
30,The Psychology of Money,4.7,46197,Morgan Housel,4,1,31,-0.6462363275615611,0.3466974855907322
31,All the Light We Cannot See,4.5,222709,Anthony Doerr,0,0,32,1.3758444218636225,-0.9867543820659301
32,American Dirt,4.6,163751,Jeanine Cummins,1,1,33,0.7004351758938869,-0.6533914151517646
33,The 5 Love Languages,4.8,91602,Gary Chapman,2,1,34,-0.1260871228182549,-0.32002844823759896
34,Harry Potter and the Sorcerer's Stone,4.9,115000,J. K. Rowling,2,1,35,0.1419549670965976,-0.32002844823759896
